0  5.33333 20.6667 0 0 0.0229167
1  5.66667 19.5 0 0 0.0144841
2  7.66667 21.3333 0 0 0.00753968
3  6.375 21.9375 0 0 0.0428571
4  2.75 18 0 0 0.0157738
5  4.22222 18.8889 0 0 0.0189484
6  3.8 21.8 0 0 0.0122024
7  3.66667 19.5 0 0 0.0140873
8  4.4 19.6 0 0 0.0115079
9  3.5 19.75 0 0 0.00922619
10  3.57143 16.2857 0 0 0.012996
11  4.57143 19.7143 0 0 0.0165675
12  6.1 22.1 0 0 0.0262897
13  5 19 0 0 0.0141865
14  5.16667 20 0 0 0.0139881
15  5.66667 21.4667 0 0 0.0355159
16  5.5 20.8333 0 0 0.0160714
17  4 20.375 0 0 0.0189484
18  6.27273 21.7273 0 0 0.0292659
19  4.2 19.2 0 0 0.0113095
20  4.77778 21.1111 0 0 0.0231151
21  5.57143 21.2857 0 0 0.0362103
22  3.8 19.4 0 0 0.0105159
23  5 22 0 0 0.00486111
24  2.28571 16.4286 0 0 0.012996
25  7.11111 23.5556 0 0 0.025
26  3 19.25 0 0 0.00833333
27  5.77778 20.2222 0 0 0.0231151
28  4.5 18.625 0 0 0.0181548
29  7 24 0 0 0.0122024
30  3.375 18.5 0 0 0.0172619
31  6 22.1667 0 0 0.0160714
32  5.4 19 0 0 0.0105159
33  3.66667 18.4444 0 0 0.0188492
34  3.8 19.2 0 0 0.0104167
35  6.6 22 0 0 0.0143849
36  5.8 19 0 0 0.0241071
37  6.5 20.1667 0 0 0.0144841
38  2.5 14.75 0 0 0.00634921
39  4.92857 20.4286 0 0 0.0333333
40  7.75 23.75 0 0 0.0110119
41  5.5 19.5 0 0 0.00892857
42  4.75 22 0 0 0.00992063
43  4 20.3333 0 0 0.0145833
44  5.57143 20.2857 0 0 0.0166667
45  3 18 0 0 0.0188492
46  3.25 18.5 0 0 0.00873016
47  3.77778 16.7778 0 0 0.0178571
48  3 17.6 0 0 0.0106151
49  5.5 19.875 0 0 0.0176587
50  3.72727 18.4545 0 0 0.0235119
51  5 19.6667 0 0 0.0209325
52  2.25 17.375 0 0 0.0156746
53  3.2 21 0 0 0.0119048
54  3.25 16.25 0 0 0.00793651
55  5 21.5 0 0 0.00446429
56  4.75 19.25 0 0 0.0176587
57  5.66667 21 0 0 0.0152778
58  3.14286 19.4286 0 0 0.0152778
59  4.375 19.625 0 0 0.0186508
60  5.83333 21.0833 0 0 0.0310516
61  4.25 19.5 0 0 0.00823413
62  4.75 19.75 0 0 0.00892857
63  5.6 19.8 0 0 0.0103175
64  8.28571 25 0 0 0.021627
65  7.125 23 0 0 0.0223214
66  3.4 17.6 0 0 0.0103175
67  4.91667 18.25 0 0 0.0267857
68  3 19.5 0 0 0.00843254
69  2.5 17.75 0 0 0.00734127
70  3.2 18.8 0 0 0.0111111
71  7.28571 23 0 0 0.0196429
72  7.5 23.5 0 0 0.0115079
73  5.75 21.0833 0 0 0.0287698
74  3.5 18.75 0 0 0.00912698
75  2.25 17 0 0 0.00734127
76  3.2 18.3 0 0 0.0225198
77  6.16667 23.8333 0 0 0.0164683
78  3.2 17 0 0 0.00982143
79  4.2 19.6 0 0 0.0113095
80  4.75 19.5 0 0 0.0180556
81  3.5 19 0 0 0.00833333
82  3.66667 17.3333 0 0 0.0115079
83  5.28571 19.8571 0 0 0.0171627
84  5.33333 21.0833 0 0 0.0303571
85  4 19.1667 0 0 0.0133929
86  4.14286 18.4286 0 0 0.0151786
87  5.66667 23.1667 0 0 0.0162698
88  1.5 19 0 0 0.00386905
89  4.83333 18.5 0 0 0.0123016
90  4.33333 18.3333 0 0 0.0128968
91  4.88889 21.8889 0 0 0.0230159
92  4.63636 18.6364 0 0 0.0248016
93  4 20.6667 0 0 0.0139881
94  5.14286 20.7143 0 0 0.0175595
95  5 20.8571 0 0 0.0174603
96  6.28571 23.1429 0 0 0.0202381
97  5.28571 20.2857 0 0 0.0164683
98  4.27273 19.4545 0 0 0.0251984
99  5 20.5714 0 0 0.0175595
